ticker,title
KXLEADERNBASTL,NBA SPG Leader
KXLEADERNFLINT,NFL leader interceptions
KXLEADERNFLPINT,Pro Football Pass INT 
KXLEADERNFLPTDS,NFL leader passing TDs
KXLEADERNFLPYDS,NFL leader passing yards
KXLEADERNFLRTDS,NFL leader receiving TDs
KXLEADERNFLRUSHTDS,NFL leader rushing TDs
KXLEADERNFLRUSHYDS,NFL leader rushing yards
KXLEADERNFLRYDS,NFL leader receiving yards
KXLEADERNFLSACKS,NFL Sacks Leader
KXLEADERPINT,Pro Football Passing Interceptions Leader
KXLEADERUCLGOALS,UCL Top Goalscorer
KXLEADERWNBA3PT,WNBA Total 3-Pointers Made Leader
KXLEADERWNBAAST,WNBA APG Leader
KXLEADERWNBAPTS,WNBA PPG Leader
KXLEADERWNBAREB,WNBA RPG Leader
KXLEAGUE,League of Legends World Championship
KXLEAGUEWORLDS,League of Legends Worlds
KXLEBRONPLAY,LeBron Next Play
KXLIGAMX,Liga MX Winner
KXLIGAMXADVANCE,Liga MX Advance
KXLIGAMXGAME,Liga MX Game
KXLIGAMXSPREAD,Liga MX Game
KXLIGAMXTOTAL,Liga MX Total
