tourney_year_id,tourney_order,tourney_type,tourney_name,tourney_id,tourney_slug,tourney_location,tourney_date,year,tourney_start_day,tourney_start_month,tourney_start_year,tourney_end_day,tourney_end_month,tourney_end_year,tourney_surface,tourney_url_suffix
2024-422,52,Masters 1000,ATP Masters 1000 Cincinnati,422,cincinnati,"Cincinnati, United States","12 - 19 August, 2024",2024,12,8,2024,19,8,2024,,/en/tournaments/cincinnati/422/overview
2024-6242,53,ATP 250,Winston-Salem,6242,winston-salem,"Winston-Salem, United States","18 - 24 August, 2024",2024,18,8,2024,24,8,2024,,/en/tournaments/winston-salem/6242/overview
2024-560,54,Grand Slam,US Open,560,us-open,"New York, United States","26 August - 8 September, 2024",2024,26,8,2024,8,9,2024,,/en/tournaments/us-open/560/overview
2024-8097,55,undefined,Davis Cup Finals Group Stage,8097,davis-cup-qualifiers-2nd-rd,"Multiple Locations,","10 - 15 September, 2024",2024,10,9,2024,15,9,2024,,/en/tournaments/davis-cup-qualifiers-2nd-rd/8097/overview
2024-7581,56,ATP 250,Chengdu,7581,chengdu,"Chengdu, China","18 - 24 September, 2024",2024,18,9,2024,24,9,2024,,/en/tournaments/chengdu/7581/overview
2024-4713,57,ATP 250,Hangzhou,4713,hangzhou,"Hangzhou, China","18 - 24 September, 2024",2024,18,9,2024,24,9,2024,,/en/tournaments/hangzhou/4713/overview
2024-9210,58,Laver Cup,Laver Cup,9210,laver-cup,"Berlin, Germany","20 - 22 September, 2024",2024,20,9,2024,22,9,2024,,/en/tournaments/laver-cup/9210/overview
2024-329,59,ATP 500,Tokyo,329,tokyo,"Tokyo, Japan","25 September - 1 October, 2024",2024,25,9,2024,1,10,2024,,/en/tournaments/tokyo/329/overview
2024-747,60,ATP 500,Beijing,747,beijing,"Beijing, China","26 September - 2 October, 2024",2024,26,9,2024,2,10,2024,,/en/tournaments/beijing/747/overview
2024-5014,61,Masters 1000,ATP Masters 1000 Shanghai,5014,shanghai,"Shanghai, China","2 - 13 October, 2024",2024,2,10,2024,13,10,2024,,/en/tournaments/shanghai/5014/overview
2024-9410,62,ATP 250,Almaty,9410,almaty,"Almaty, Kazakhstan","14 - 20 October, 2024",2024,14,10,2024,20,10,2024,,/en/tournaments/almaty/9410/overview
2024-7485,63,ATP 250,Antwerp,7485,brussels,"Antwerp, Belgium","14 - 20 October, 2024",2024,14,10,2024,20,10,2024,,/en/tournaments/brussels/7485/overview
2024-429,64,ATP 250,Stockholm,429,stockholm,"Stockholm, Sweden","14 - 20 October, 2024",2024,14,10,2024,20,10,2024,,/en/tournaments/stockholm/429/overview
2024-337,65,ATP 500,Vienna,337,vienna,"Vienna, Austria","21 - 27 October, 2024",2024,21,10,2024,27,10,2024,,/en/tournaments/vienna/337/overview
2024-328,66,ATP 500,Basel,328,basel,"Basel, Switzerland","21 - 27 October, 2024",2024,21,10,2024,27,10,2024,,/en/tournaments/basel/328/overview
2024-352,67,Masters 1000,ATP Masters 1000 Paris,352,paris,"Paris, France","28 October - 3 November, 2024",2024,28,10,2024,3,11,2024,,/en/tournaments/paris/352/overview
2024-4787,68,ATP 250,Belgrade,4787,belgrade,"Belgrade, Serbia","3 - 9 November, 2024",2024,3,11,2024,9,11,2024,,/en/tournaments/belgrade/4787/overview
2024-341,69,ATP 250,Metz,341,metz,"Metz, France","3 - 9 November, 2024",2024,3,11,2024,9,11,2024,,/en/tournaments/metz/341/overview
2024-605,70,ATP Finals,Nitto ATP Finals,605,nitto-atp-finals,"Turin, Italy","10 - 17 November, 2024",2024,10,11,2024,17,11,2024,,/en/tournaments/nitto-atp-finals/605/overview
2024-8099,71,undefined,Davis Cup Finals,8099,davis-cup-finals,"Malaga, Spain","19 - 24 November, 2024",2024,19,11,2024,24,11,2024,,/en/tournaments/davis-cup-finals/8099/overview
2024-7696,72,Next Gen Finals,Next Gen ATP Finals,7696,next-gen-atp-finals,"Jeddah, Saudi Arabia","18 - 22 December, 2024",2024,18,12,2024,22,12,2024,,/en/tournaments/next-gen-atp-finals/7696/overview
2025-339,2,ATP 250,Brisbane,339,brisbane,"Brisbane, Australia","29 December, 2024 - 5 January, 2025",2025,29,12,2024,5,1,2025,,/en/tournaments/brisbane/339/overview
2025-336,3,ATP 250,Hong Kong,336,hong-kong,"Hong Kong, Hong Kong","30 December, 2024 - 5 January, 2025",2025,30,12,2024,5,1,2025,,/en/tournaments/hong-kong/336/overview
2025-8998,4,ATP 250,Adelaide,8998,adelaide,"Adelaide, Australia","6 - 11 January, 2025",2025,6,1,2025,11,1,2025,,/en/tournaments/adelaide/8998/overview
2025-301,5,ATP 250,Auckland,301,auckland,"Auckland, New Zealand","6 - 11 January, 2025",2025,6,1,2025,11,1,2025,,/en/tournaments/auckland/301/overview
2025-580,6,Grand Slam,Australian Open,580,australian-open,"Melbourne, Australia","12 - 26 January, 2025",2025,12,1,2025,26,1,2025,,/en/tournaments/australian-open/580/overview
