player_id,player_slug,full_name,year,surface,Aces,DoubleFaults,FirstServePercentage,FirstServePointsWonPercentage,SecondServePointsWonPercentage,BreakPointsFaced,BreakPointsSavedPercentage,ServiceGamesPlayed,ServiceGamesWonPercentage,ServicePointsWonPercentage,FirstServeReturnPointsWonPercentage,SecondServeReturnPointsWonPercentage,BreakPointsOpportunities,BreakPointsConvertedPercentage,ReturnGamesPlayed,ReturnGamesWonPercentage,ReturnPointsWonPercentage,TotalPointsWonPercentage
ag37,felix-auger-aliassime,Felix Auger Aliassime,2024,Clay,109,68,62,76,51,92,66,220,86,67,34,47,120,44,217,24,39,53
ag37,felix-auger-aliassime,Felix Auger Aliassime,2024,Grass,38,8,67,79,49,15,67,36,86,69,20,42,8,38,35,9,28,50
ag37,felix-auger-aliassime,Felix Auger Aliassime,2024,Carpet,,,,,,,,,,,,,,,,,,
ag37,felix-auger-aliassime,Felix Auger Aliassime,2023,all,380,200,60,78,49,212,60,539,84,67,28,47,279,32,531,17,35,51
ag37,felix-auger-aliassime,Felix Auger Aliassime,2023,Hard,335,160,60,79,50,172,61,460,85,67,28,47,252,31,454,17,35,51
ag37,felix-auger-aliassime,Felix Auger Aliassime,2023,Clay,28,32,60,74,41,35,60,56,75,61,26,52,22,50,54,20,35,49
ag37,felix-auger-aliassime,Felix Auger Aliassime,2023,Grass,17,8,60,80,52,5,40,23,87,69,18,48,5,40,23,9,27,48
ag37,felix-auger-aliassime,Felix Auger Aliassime,2023,Carpet,,,,,,,,,,,,,,,,,,
s0s1,ben-shelton,Ben Shelton,all,all,2095,738,66,76,54,1153,70,2882,88,69,25,46,1157,38,2868,15,33,51
s0s1,ben-shelton,Ben Shelton,all,Hard,1479,466,66,76,55,750,70,1970,89,69,25,46,801,38,1962,16,33,51
s0s1,ben-shelton,Ben Shelton,all,Clay,297,165,63,74,53,258,62,546,82,66,27,45,219,40,541,16,34,50
s0s1,ben-shelton,Ben Shelton,all,Grass,319,107,66,77,53,145,78,366,91,69,24,46,137,33,365,12,32,51
s0s1,ben-shelton,Ben Shelton,all,Carpet,,,,,,,,,,,,,,,,,,
s0s1,ben-shelton,Ben Shelton,2026,all,273,63,67,77,60,103,76,327,92,72,24,46,124,32,323,12,32,52
s0s1,ben-shelton,Ben Shelton,2026,Hard,199,42,68,77,58,77,75,223,91,71,25,47,89,34,220,14,32,52
s0s1,ben-shelton,Ben Shelton,2026,Clay,74,21,65,78,63,26,77,104,94,73,22,45,35,29,103,10,31,52
s0s1,ben-shelton,Ben Shelton,2026,Grass,,,,,,,,,,,,,,,,,,
s0s1,ben-shelton,Ben Shelton,2026,Carpet,,,,,,,,,,,,,,,,,,
s0s1,ben-shelton,Ben Shelton,2025,all,607,198,64,75,55,326,67,832,87,68,26,46,331,41,827,17,33,51
