match_id,event_year,tournament,p1_id,p2_id,p1_prob,outcome,brier,bucket
223,2023,Dallas Open,ae14,s0k7,0.662,1,0.11424399999999998,"(0.6, 0.7]"
224,2023,Dallas Open,kc12,p0ht,0.5098,1,0.24029603999999996,"(0.5, 0.6]"
225,2023,Cordoba Open,b0bi,da31,0.6792,1,0.10291263999999999,"(0.6, 0.7]"
226,2023,Dallas Open,h09p,d0f6,0.4686,1,0.28238596,"(0.4, 0.5]"
227,2023,Cordoba Open,b0bi,d0fj,0.779,1,0.04884099999999999,"(0.7, 0.8]"
228,2023,Cordoba Open,gd64,mo44,0.5722,1,0.18301283999999995,"(0.5, 0.6]"
229,2023,Dallas Open,rg42,f0bt,1.0,1,0.0,"(0.9, 1.0]"
230,2023,Cordoba Open,b0bi,bs86,0.6228,1,0.14227984,"(0.6, 0.7]"
231,2023,Cordoba Open,bs86,ge33,0.5268,1,0.22391823999999996,"(0.5, 0.6]"
232,2023,Cordoba Open,da31,c0c8,0.5302,1,0.22071204,"(0.5, 0.6]"
233,2023,Cordoba Open,l987,v836,0.5348,1,0.21641103999999994,"(0.5, 0.6]"
234,2023,Cordoba Open,d0fj,fa43,1.0,1,0.0,"(0.9, 1.0]"
235,2023,Cordoba Open,da31,sx91,0.3832,1,0.38044224000000004,"(0.3, 0.4]"
236,2023,Cordoba Open,cf01,bf23,0.671,1,0.10824099999999998,"(0.6, 0.7]"
237,2023,Cordoba Open,d0fj,g09o,0.4514,1,0.30096196,"(0.4, 0.5]"
238,2023,Open Sud de France – Montpellier,s0ag,f0f1,0.7064,1,0.08620095999999998,"(0.7, 0.8]"
239,2023,Open Sud de France – Montpellier,s0ag,su87,0.6722,1,0.10745284,"(0.6, 0.7]"
240,2023,Open Sud de France – Montpellier,r0dg,hh06,0.5788,1,0.17740944000000003,"(0.5, 0.6]"
241,2023,Cordoba Open,d0fj,h997,0.2582,1,0.55026724,"(0.2, 0.3]"
242,2023,Cordoba Open,da31,kc29,1.0,1,0.0,"(0.9, 1.0]"
243,2023,Open Sud de France – Montpellier,hb64,dh50,0.4572,1,0.2946318399999999,"(0.4, 0.5]"
244,2023,Cordoba Open,kc29,aa27,0.502,1,0.248004,"(0.5, 0.6]"
245,2023,Cordoba Open,u182,mj98,1.0,1,0.0,"(0.9, 1.0]"
