match_id,file,t60_prob,outcome,mins_before,brier,is_challenger
KXATPCHALLENGERMATCH-26FEB17GUIVAR,KXATPCHALLENGERMATCH-26FEB17GUIVAR-GUI_candles.csv,0.58,1,60.0,0.17640000000000003,True
KXATPCHALLENGERMATCH-26FEB17KASCLA,KXATPCHALLENGERMATCH-26FEB17KASCLA-CLA_candles.csv,0.74,1,60.0,0.06760000000000001,True
KXATPCHALLENGERMATCH-26FEB17SWEZHU,KXATPCHALLENGERMATCH-26FEB17SWEZHU-SWE_candles.csv,0.71,0,60.0,0.5041,True
KXATPCHALLENGERMATCH-26FEB17ZARDAM,KXATPCHALLENGERMATCH-26FEB17ZARDAM-ZAR_candles.csv,0.33,1,60.0,0.4488999999999999,True
KXATPCHALLENGERMATCH-26FEB18AVEPAC,KXATPCHALLENGERMATCH-26FEB18AVEPAC-AVE_candles.csv,0.31,0,60.0,0.0961,True
KXATPCHALLENGERMATCH-26FEB18BROTOM,KXATPCHALLENGERMATCH-26FEB18BROTOM-TOM_candles.csv,0.42,1,60.0,0.3364000000000001,True
KXATPCHALLENGERMATCH-26FEB18CRAIVA,KXATPCHALLENGERMATCH-26FEB18CRAIVA-CRA_candles.csv,0.91,1,60.0,0.008099999999999994,True
KXATPCHALLENGERMATCH-26FEB18DIAAGU,KXATPCHALLENGERMATCH-26FEB18DIAAGU-AGU_candles.csv,0.5,0,60.0,0.25,True
KXATPCHALLENGERMATCH-26FEB18GILBAR,KXATPCHALLENGERMATCH-26FEB18GILBAR-BAR_candles.csv,0.17,0,60.0,0.028900000000000006,True
KXATPCHALLENGERMATCH-26FEB18ZANLA,KXATPCHALLENGERMATCH-26FEB18ZANLA-LA_candles.csv,0.58,1,60.0,0.17640000000000003,True
KXATPCHALLENGERMATCH-26FEB19COLTOR,KXATPCHALLENGERMATCH-26FEB19COLTOR-COL_candles.csv,0.34,1,60.0,0.4355999999999999,True
KXATPCHALLENGERMATCH-26FEB19FEROLI,KXATPCHALLENGERMATCH-26FEB19FEROLI-FER_candles.csv,0.23,1,60.0,0.5929,True
KXATPCHALLENGERMATCH-26FEB19GALKIN,KXATPCHALLENGERMATCH-26FEB19GALKIN-GAL_candles.csv,0.81,1,60.0,0.03609999999999998,True
KXATPCHALLENGERMATCH-26FEB19GUILA,KXATPCHALLENGERMATCH-26FEB19GUILA-GUI_candles.csv,0.63,0,60.0,0.39690000000000003,True
KXATPCHALLENGERMATCH-26FEB19PALSAN,KXATPCHALLENGERMATCH-26FEB19PALSAN-PAL_candles.csv,0.64,0,60.0,0.4096,True
KXATPCHALLENGERMATCH-26FEB19ZARMID,KXATPCHALLENGERMATCH-26FEB19ZARMID-ZAR_candles.csv,0.01,0,60.0,0.0001,True
KXATPCHALLENGERMATCH-26FEB20CINSAK,KXATPCHALLENGERMATCH-26FEB20CINSAK-CIN_candles.csv,0.39,0,60.0,0.1521,True
KXATPCHALLENGERMATCH-26FEB20CRACLA,KXATPCHALLENGERMATCH-26FEB20CRACLA-CLA_candles.csv,0.54,0,60.0,0.2916,True
KXATPCHALLENGERMATCH-26FEB20GALWIN,KXATPCHALLENGERMATCH-26FEB20GALWIN-GAL_candles.csv,0.69,1,60.0,0.09610000000000003,True
KXATPCHALLENGERMATCH-26FEB20GILGEE,KXATPCHALLENGERMATCH-26FEB20GILGEE-GEE_candles.csv,0.76,0,60.0,0.5776,True
KXATPCHALLENGERMATCH-26FEB20GOJTOM,KXATPCHALLENGERMATCH-26FEB20GOJTOM-TOM_candles.csv,0.13,0,60.0,0.016900000000000002,True
KXATPCHALLENGERMATCH-26FEB20KOUBAS,KXATPCHALLENGERMATCH-26FEB20KOUBAS-BAS_candles.csv,0.41,0,60.0,0.16809999999999997,True
