match_id,p1_won_set1,p1_prob,outcome,brier
10194,False,0.0006,0,3.5999999999999994e-07
10196,False,0.0032,0,1.024e-05
10197,True,1.0,1,0.0
10199,False,0.3282,1,0.45131523999999995
10200,True,0.8746,1,0.015725159999999988
10203,False,0.1586,0,0.025153959999999996
10204,True,0.9992,1,6.400000000000366e-07
10208,True,0.7338,1,0.07086244
10209,False,0.0906,0,0.00820836
10212,True,1.0,0,1.0
10214,True,1.0,1,0.0
10217,True,0.9446,1,0.0030691600000000005
10218,False,0.0062,0,3.844e-05
10219,False,0.0,0,0.0
10222,True,0.8362,0,0.6992304400000001
10223,False,0.0074,0,5.4760000000000004e-05
10224,True,0.895,1,0.011024999999999997
10226,True,1.0,1,0.0
10229,True,0.9934,1,4.356000000000066e-05
10233,False,0.16,1,0.7055999999999999
10234,True,1.0,1,0.0
10235,False,0.5216,1,0.22886656000000005
10237,True,0.9138,1,0.0074304400000000095
10239,False,0.1816,1,0.66977856
10242,True,0.8952,1,0.010983040000000001
10244,True,0.9872,0,0.97456384
10246,False,0.038,0,0.001444
10247,False,0.3444,0,0.11861135999999999
10250,False,0.456,0,0.207936
10251,False,0.2544,1,0.5559193600000001
10252,False,0.1244,0,0.015475359999999999
10253,True,0.9938,0,0.98763844
10254,False,0.0022,0,4.84e-06
10255,True,0.9974,1,6.760000000000243e-06
10256,True,0.9962,1,1.4440000000000194e-05
10257,False,0.0,0,0.0
10258,False,0.0292,1,0.94245264
10259,False,0.009,1,0.982081
10260,False,0.049,0,0.0024010000000000004
10261,False,0.1716,0,0.02944656
10262,False,0.0942,0,0.00887364
10265,True,0.9924,1,5.7760000000000775e-05
10267,True,0.9836,1,0.000268959999999999
10268,True,0.9942,1,3.3640000000000315e-05
10270,True,0.995,1,2.5000000000000045e-05
10273,False,0.0168,0,0.00028223999999999995
10274,False,0.2804,0,0.07862415999999998
10275,True,0.9756,1,0.0005953599999999989
10277,False,0.0034,0,1.156e-05
10279,False,0.0002,0,4e-08
10282,False,0.163,0,0.026569000000000002
10283,False,0.0252,1,0.95023504
10284,False,0.0126,0,0.00015876
10287,True,0.8562,1,0.02067844000000001
10288,True,0.9884,1,0.00013456000000000126
10290,True,0.976,1,0.000576000000000001
10291,True,0.997,1,9.000000000000015e-06
10293,False,0.0108,0,0.00011664000000000001
10294,False,0.1664,0,0.02768896
10295,False,0.0018,0,3.24e-06
10297,True,0.8166,1,0.03363556
10298,True,1.0,1,0.0
10299,True,0.7852,0,0.61653904
10302,False,0.0,0,0.0
10303,True,0.9094,1,0.008208360000000003
10304,True,0.7394,1,0.06791236000000003
10305,False,0.0,0,0.0
10307,False,0.1682,0,0.028291239999999995
10309,False,0.0,0,0.0
10311,True,0.928,1,0.005183999999999993
10315,False,0.0036,0,1.296e-05
10317,True,0.9692,1,0.0009486400000000031
10318,False,0.0224,0,0.00050176
10321,False,0.0026,0,6.76e-06
10322,True,0.98,1,0.0004000000000000007
10324,False,0.0,0,0.0
10325,True,0.8302,1,0.028832039999999982
10327,True,0.9978,1,4.839999999999911e-06
10329,True,0.9874,0,0.9749587600000001
10330,False,0.2606,1,0.5467123600000001
10332,True,0.8818,1,0.013971239999999994
10333,True,1.0,1,0.0
10337,True,1.0,1,0.0
10338,True,0.9996,0,0.9992001600000001
10340,True,0.9896,1,0.00010815999999999926
10342,True,0.9736,0,0.94789696
10343,True,0.9656,1,0.001183359999999999
10344,False,0.1064,0,0.01132096
10345,False,0.0966,0,0.009331560000000001
10346,False,0.192,0,0.036864
10347,True,0.9942,1,3.3640000000000315e-05
10348,False,0.0288,1,0.9432294399999999
10349,True,1.0,1,0.0
10350,False,0.04,0,0.0016
10352,True,0.989,1,0.00012100000000000022
10354,True,0.878,0,0.770884
10355,False,0.0136,1,0.9729849600000001
10356,True,1.0,1,0.0
10359,False,0.0,0,0.0
